Order,Issue Key,Summary,Description,Story Points,Epic Link,Acceptance Criteria
61,US31,Confirmación de contratación exitosa,"Como cliente, deseo recibir una confirmación en la plataforma y por correo al contratar a un freelancer para tener constancia de los términos acordados.",3,EP08,"Escenario 1: Dado que la contratación es procesada, cuando el sistema finaliza el registro, entonces muestra una confirmación en pantalla. | Escenario 2: Dado que la contratación fue exitosa, cuando el sistema envía la notificación, entonces el cliente recibe un correo con los detalles."
62,TS12,Webhook de pagos,"Como developer, deseo implementar el endpoint POST /api/v1/payments/webhooks/mercado-pago para actualizar el estado de los pagos en custodia.",5,EP08,"Escenario 1: Dado que la notificación tiene una firma válida y el pago figura aprobado al consultarlo en Mercado Pago, cuando se procesa la notificación, entonces la API responde 200 OK y el pago queda en estado HELD_IN_ESCROW. | Escenario 2: Dado que la firma de la notificación es inválida, cuando se procesa la solicitud, entonces la API responde 401 Unauthorized y no modifica ningún pago."
63,US34,Visualizar proyectos activos,"Como freelancer, deseo ver una lista de mis proyectos activos para organizar mi trabajo.",5,EP09,"Escenario 1: Dado que existen proyectos activos, cuando el freelancer accede al listado, entonces el sistema muestra los proyectos con su información relevante. | Escenario 2: Dado que existen múltiples proyectos, cuando el freelancer solicita ordenarlos, entonces el sistema permite ordenarlos por criterios definidos."
64,US37,Ver estado del proyecto,"Como cliente, deseo ver el estado de mis proyectos en curso para saber si están en espera, en proceso o finalizados.",5,EP09,"Escenario 1: Dado que el cliente consulta sus proyectos, cuando accede al listado, entonces el sistema muestra su estado actual. | Escenario 2: Dado que un proyecto cambia de estado, cuando el cliente consulta su historial, entonces el sistema muestra los cambios registrados."
65,US36,Marcar proyecto como finalizado,"Como freelancer, deseo marcar un proyecto como finalizado para indicar que mi trabajo fue completado.",3,EP09,"Escenario 1: Dado que un freelancer concluye un proyecto, cuando lo marca como finalizado, entonces el sistema actualiza su estado. | Escenario 2: Dado que un proyecto está finalizado, cuando el cliente lo consulta, entonces visualiza su estado actualizado."
66,US33,Ver historial de contrataciones,"Como cliente, deseo ver un historial de mis contrataciones para tener un registro de mis actividades.",2,EP08,"Escenario 1: Dado que el cliente ha realizado contrataciones, cuando accede al historial, entonces el sistema muestra la lista con fechas y estados. | Escenario 2: Dado que selecciona una contratación, cuando solicita más información, entonces el sistema muestra los detalles."
67,SP08,Sistema de calificaciones y opiniones,"Como equipo de desarrollo, deseo investigar formas seguras de almacenar calificaciones evitando fraudes para sustentar la confianza en la reputación pública.",2,EP07,"Escenario 1: Dado que se diseña un esquema de BD, cuando se prueba, entonces soporta calificaciones con comentarios vinculados a proyectos finalizados. | Escenario 2: Dado que se documentan riesgos, cuando se presenta el informe, entonces se incluyen medidas de mitigación."
68,US38,Calificar al freelancer,"Como cliente, deseo calificar al freelancer al finalizar un proyecto para compartir mi experiencia.",3,EP07,"Escenario 1: Dado que un proyecto finalizó, cuando el cliente registra una calificación con comentario, entonces el sistema guarda la reseña. | Escenario 2: Dado que ya calificó, cuando consulta el proyecto, entonces visualiza la calificación registrada."
69,TS10,Endpoint de reseñas,"Como developer, deseo implementar el endpoint POST /api/v1/engagements/{engagementId}/reviews para registrar reseñas al finalizar un proyecto.",3,EP07,"Escenario 1: Dado que el engagement está completado y el usuario participó en él, cuando envía una calificación de 1 a 5 con comentario, entonces la API responde 201 Created y publica ReviewSubmitted. | Escenario 2: Dado que el engagement no está completado, cuando se procesa la solicitud, entonces la API responde 409 Conflict. | Escenario 3: Dado que el usuario ya registró una reseña para ese engagement, cuando se procesa la solicitud, entonces la API responde 409 Conflict."
70,US39,Ver calificaciones del freelancer,"Como cliente, deseo ver las calificaciones que otros usuarios han dejado a un freelancer para decidir con información si lo contrato.",5,EP07,"Escenario 1: Dado que un cliente visita un perfil, cuando consulta la sección de calificaciones, entonces visualiza el promedio y comentarios existentes. | Escenario 2: Dado que un comentario tiene más contenido, cuando el cliente solicita verlo completo, entonces el sistema muestra la versión extendida."
71,US41,Calificar al cliente,"Como freelancer, deseo calificar al cliente luego de terminar un proyecto para informar a otros freelancers sobre su comportamiento.",5,EP07,"Escenario 1: Dado que un proyecto terminó, cuando el freelancer registra una calificación y comentario, entonces el sistema guarda la reseña. | Escenario 2: Dado que la calificación fue registrada, cuando el freelancer revisa su historial, entonces visualiza que ya calificó ese proyecto."
72,US40,Editar calificación después de un proyecto,"Como cliente, deseo editar una calificación que registré para que refleje con precisión mi experiencia final con el freelancer.",5,EP07,"Escenario 1: Dado que el cliente escribió una reseña, cuando solicita editarla, entonces el sistema permite cambiar puntuación y comentario. | Escenario 2: Dado que la reseña es modificada, cuando otros usuarios la visualizan, entonces el sistema muestra que fue editada y registra la fecha."
73,SP04,Investigación de mensajería en tiempo real,"Como equipo de desarrollo, deseo investigar opciones para implementar mensajería en tiempo real.",2,EP11,"Escenario 1: Dado que se revisan tecnologías, cuando se comparan, entonces el informe incluye la mejor opción. | Escenario 2: Dado que se crea un prototipo básico, cuando dos usuarios intercambian mensajes, entonces estos se reciben sin refrescar la página."
74,US42,Enviar mensaje a usuario desde perfil,"Como usuario, deseo enviar un mensaje a otro usuario desde su perfil para coordinar detalles.",3,EP11,"Escenario 1: Dado que un usuario accede al perfil de otro, cuando inicia una conversación, entonces el sistema crea el canal de mensajería. | Escenario 2: Dado que se recibe un mensaje, cuando el sistema registra la llegada, entonces notifica dentro de la plataforma."
75,TS11,Endpoint de mensajes,"Como developer, deseo implementar el endpoint POST /api/v1/conversations/{conversationId}/messages del Communications Service para el intercambio de mensajes.",3,EP11,"Escenario 1: Dado que el remitente participa en la conversación, cuando envía un mensaje, entonces la API responde 201 Created y notifica al destinatario en tiempo real. | Escenario 2: Dado que el destinatario bloqueó al remitente, cuando se procesa la solicitud, entonces la API responde 403 Forbidden."
76,US44,Recibir notificación de nuevo mensaje,"Como usuario, deseo recibir una notificación cuando me envíen un nuevo mensaje para no perder comunicación importante.",1,EP11,"Escenario 1: Dado que se recibe un mensaje, cuando el sistema lo registra, entonces genera una notificación visible. | Escenario 2: Dado que el usuario está dentro del chat, cuando se envía un mensaje nuevo, entonces aparece automáticamente sin recargar."
77,US43,Ver historial de conversaciones,"Como usuario, deseo ver mi historial de conversaciones previas para recordar acuerdos importantes.",2,EP11,"Escenario 1: Dado que el usuario tiene conversaciones previas, cuando accede a la sección de mensajes, entonces el sistema muestra la lista de chats recientes. | Escenario 2: Dado que revisa un chat antiguo, cuando navega hacia arriba, entonces el sistema carga el historial completo."
78,US45,Bloquear o reportar usuario desde el chat,"Como usuario, deseo bloquear o reportar a otra persona para protegerme de mensajes inapropiados o spam.",2,EP12,"Escenario 1: Dado que un usuario reporta a otro, cuando especifica un motivo válido, entonces el sistema registra el reporte. | Escenario 2: Dado que un usuario bloquea a otro, cuando el sistema procesa la acción, entonces impide futuras interacciones."
79,US14,Enviar un ticket de soporte,"Como usuario, deseo enviar un mensaje de soporte si no encuentro mi duda en la FAQ para recibir asistencia personalizada.",3,EP12,"Escenario 1: Dado que un usuario no encuentra solución, cuando proporciona la información necesaria, entonces el sistema registra el ticket. | Escenario 2: Dado que los datos están incompletos, cuando intenta registrar el ticket, entonces el sistema rechaza el envío e informa los campos faltantes."
80,US13,Buscar información dentro de preguntas frecuentes,"Como usuario, deseo buscar palabras clave en la sección de FAQ para encontrar respuestas más rápido.",3,EP01,"Escenario 1: Dado que un usuario busca información, cuando ingresa una palabra clave, entonces el sistema muestra las preguntas relacionadas. | Escenario 2: Dado que la búsqueda no tiene coincidencias, cuando el sistema procesa el término, entonces informa que no se encontraron resultados."
81,SP05,Investigación para cálculo inteligente de precios,"Como equipo de desarrollo, deseo investigar modelos para sugerir precios justos evaluando variables y reglas.",2,EP10,"Escenario 1: Dado que se analizan variables, cuando se desarrolla un prototipo, entonces devuelve un precio sugerido. | Escenario 2: Dado que se documenta la investigación, cuando se presentan resultados, entonces se incluye complejidad y enfoque recomendado."
82,US46,Recibir sugerencia automática de precio,"Como freelancer, deseo recibir una sugerencia automática de precio basada en las variables del servicio para cotizar de forma consistente con el mercado.",8,EP10,"Escenario 1: Dado que el usuario especifica tipo de servicio y nivel de experiencia, cuando el sistema procesa los datos, entonces genera una sugerencia automática. | Escenario 2: Dado que el usuario cambia parámetros, cuando el sistema recalcula, entonces actualiza la sugerencia."
83,US47,Ajustar manualmente el precio sugerido,"Como freelancer, deseo modificar manualmente el precio sugerido para adaptarlo a mis condiciones.",5,EP10,"Escenario 1: Dado que existe una sugerencia, cuando el usuario ingresa un nuevo valor, entonces el sistema lo registra sin afectar la lógica base. | Escenario 2: Dado que el usuario ya modificó el precio, cuando consulta nuevamente la sección, entonces el sistema muestra el valor manual ingresado."
84,US48,Ver detalle del cálculo del precio,"Como freelancer, deseo ver una explicación breve de cómo se calculó el precio sugerido para entenderlo y justificarlo ante el cliente.",5,EP10,"Escenario 1: Dado que existe una sugerencia, cuando el usuario solicita ver detalles, entonces el sistema muestra los factores utilizados. | Escenario 2: Dado que se muestran factores, cuando el usuario solicita más información de uno, entonces el sistema explica su influencia."
85,US49,Comparar propuesta y oferta,"Como usuario, deseo comparar mi propuesta y la oferta de la otra parte para facilitar un acuerdo.",3,EP10,"Escenario 1: Dado que ambas partes ingresan valores, cuando el usuario solicita compararlos, entonces el sistema muestra una tabla comparativa. | Escenario 2: Dado que hay diferencia significativa, cuando el sistema analiza los datos, entonces sugiere continuar negociación o ajustar valores."
86,US50,Consultar historial de precios similares,"Como usuario, deseo ver precios históricos de servicios similares para tomar decisiones informadas.",2,EP10,"Escenario 1: Dado que existen datos históricos, cuando el usuario solicita verlos, entonces el sistema muestra un listado o gráfico. | Escenario 2: Dado que el usuario cambia de categoría, cuando el sistema actualiza los datos, entonces muestra información correspondiente a la nueva categoría."
